data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-02-10,15:00,2025-02-10 15:00:00,2025.0,2.0,segunda,15.0,tarde,ES,VENDA NOVA DO IMIGRANTE,False,262.0,BR-262,122.9,-20.29353997,-41.23936799,Demais falhas mecânicas ou elétricas,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,0,moderado
2025-02-10,16:30,2025-02-10 16:30:00,2025.0,2.0,segunda,16.0,tarde,ES,CARIACICA,True,101.0,BR-101,284.8,-20.24334991,-40.3696926,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,0.0,0.0,2.0,2.0,3.0,0.0,2.0,5.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-02-11,14:00,2025-02-11 14:00:00,2025.0,2.0,terca,14.0,tarde,ES,MARECHAL FLORIANO,False,262.0,BR-262,44.6,-20.38908904,-40.66911594,Condutor Dormindo,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,0.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-02-12,13:20,2025-02-12 13:20:00,2025.0,2.0,quarta,13.0,tarde,ES,ANCHIETA,False,101.0,BR-101,365.5,-20.73397538,-40.7507118,Condutor Dormindo,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,0,moderado
2025-02-13,09:19,2025-02-13 09:19:00,2025.0,2.0,quinta,9.0,manha,ES,CARIACICA,True,101.0,BR-101,291.9,-20.29755744,-40.39445616,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado;Reta,Sim,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-02-08,21:00,2025-02-08 21:00:00,2025.0,2.0,sabado,21.0,noite,ES,MIMOSO DO SUL,False,101.0,BR-101,438.9,-21.06633614,-41.22124288,Frear bruscamente,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,0,moderado
2025-02-14,10:15,2025-02-14 10:15:00,2025.0,2.0,sexta,10.0,manha,ES,LINHARES,False,101.0,BR-101,144.0,-19.35188295,-40.0636685,Problema com o freio,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de Vias,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-14,17:44,2025-02-14 17:44:00,2025.0,2.0,sexta,17.0,tarde,ES,IBATIBA,False,262.0,BR-262,166.1,-20.2468411,-41.56027697,Avarias e/ou desgaste excessivo no pneu,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,0,moderado
2025-02-16,08:00,2025-02-16 08:00:00,2025.0,2.0,domingo,8.0,manha,ES,MIMOSO DO SUL,False,101.0,BR-101,448.2,-21.13028101,-41.28044011,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,1,grave
2025-02-17,10:00,2025-02-17 10:00:00,2025.0,2.0,segunda,10.0,manha,ES,SERRA,True,101.0,BR-101,265.0,-20.1816849,-40.26536036,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-02-17,12:05,2025-02-17 12:05:00,2025.0,2.0,segunda,12.0,tarde,ES,FUNDAO,True,101.0,BR-101,232.7,-19.95224103,-40.40879816,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,0.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-02-17,15:25,2025-02-17 15:25:00,2025.0,2.0,segunda,15.0,tarde,ES,SOORETAMA,False,101.0,BR-101,125.1,-19.18496498,-40.09429827,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Interseção de Vias,Sim,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,1,grave
2025-02-17,17:40,2025-02-17 17:40:00,2025.0,2.0,segunda,17.0,tarde,ES,DOMINGOS MARTINS,False,262.0,BR-262,89.7,-20.38725617,-41.01746327,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,1,fatal
2025-02-18,06:30,2025-02-18 06:30:00,2025.0,2.0,terca,6.0,manha,ES,LINHARES,False,101.0,BR-101,150.5,-19.40436634,-40.06078896,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive;Interseção de Vias,Sim,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-18,07:13,2025-02-18 07:13:00,2025.0,2.0,terca,7.0,manha,ES,SERRA,True,101.0,BR-101,264.0,-20.17292791,-40.26736384,Trafegar com motocicleta (ou similar) entre as faixas,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,0.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-02-18,12:50,2025-02-18 12:50:00,2025.0,2.0,terca,12.0,tarde,ES,RIO NOVO DO SUL,False,101.0,BR-101,382.0,-20.82072713,-40.84702482,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,1,grave
2025-02-19,08:50,2025-02-19 08:50:00,2025.0,2.0,quarta,8.0,manha,ES,CARIACICA,True,262.0,BR-262,0.5,-20.320793,-40.353315,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Ponte;Reta,Não,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-02-19,17:20,2025-02-19 17:20:00,2025.0,2.0,quarta,17.0,tarde,ES,VIANA,True,101.0,BR-101,304.4,-20.3800645,-40.45431391,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-02-20,12:20,2025-02-20 12:20:00,2025.0,2.0,quinta,12.0,tarde,ES,IBATIBA,False,262.0,BR-262,170.4,-20.2647513,-41.58453796,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta;Aclive,Não,0.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,1,grave
2025-02-20,12:20,2025-02-20 12:20:00,2025.0,2.0,quinta,12.0,tarde,ES,LINHARES,False,101.0,BR-101,151.0,-19.41156656,-40.06592463,Condutor deixou de manter distância do veículo da frente,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Ponte;Reta,Não,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-20,20:59,2025-02-20 20:59:00,2025.0,2.0,quinta,20.0,noite,ES,VITORIA,True,101.0,BR-101,14.0,-20.2604544,-40.2980864,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,0,moderado
2025-02-21,04:40,2025-02-21 04:40:00,2025.0,2.0,sexta,4.0,madrugada,ES,SERRA,True,101.0,BR-101,264.0,-20.17292791,-40.26736384,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Amanhecer,Decrescente,Sol,Dupla,Reta;Interseção de Vias,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-02-21,06:20,2025-02-21 06:20:00,2025.0,2.0,sexta,6.0,manha,ES,MUNIZ FREIRE,False,262.0,BR-262,140.5,-20.22712702,-41.37163639,Velocidade Incompatível,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva,Não,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,0,moderado
2025-02-21,15:00,2025-02-21 15:00:00,2025.0,2.0,sexta,15.0,tarde,ES,RIO NOVO DO SUL,False,101.0,BR-101,393.8,-20.8654568,-40.9213787,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,0,baixo
